Train/Actor Loss,Train/Critic Loss,Training Epochs,Eval/AverageReturn,Eval/StdReturn,Eval/MedianReturn,Eval/MinReturn,Eval/D4RL_score,training time
-2.4073997,490.7524,48,1025.0616121900389,48.41461651076421,1010.5653236174852,966.7845637704136,0.22293747601898256,0.6356253361701966
-2.4233506,658.95795,49,1132.2374113337069,509.14217337088877,1006.5321765394954,536.1038120398783,0.246283910413963,0.6443546495834986
-2.436905,4455.5815,50,718.9269933916244,273.3359371930153,692.0087365867995,373.77814596764165,0.15625122920846085,0.6525965755515628
-2.438414,607.3761,51,906.4369252027409,358.1307976900162,1021.6149906512443,438.8380288947188,0.19709709512607582,0.6604394237200419
-2.4429038,775.65283,52,2736.8154988759948,773.4565862473033,2981.2304997949395,423.3643520868579,0.595814096815587,0.6700111324919594
-2.4425673,2116.4478,53,3262.7099106110777,87.80890892626715,3278.512735314798,3099.9979910648617,0.7103712961120603,0.6796132553286023
-2.455151,335.66736,54,3091.730293533723,688.2110373368621,3496.7865413029685,1918.8884793331347,0.6731262795610343,0.6889489648077223
-2.450142,261.51263,55,3399.498311315544,80.28049873040854,3395.268939867865,3282.795515404119,0.740168334702463,0.6990505737728543
-2.4526656,2311.0088,56,3430.8038884888106,368.228702680001,3535.9628992976245,2355.0585071946984,0.7469877249893778,0.7089681061108907
-2.4571662,202.86195,57,2960.2875924416194,1223.3564876725159,3559.0710648910554,439.6074002103418,0.6444937111802542,0.7183505604664485
-2.4524176,211.48105,58,3195.4897741903064,90.38192735935935,3200.490647456136,3055.6180896671267,0.6957285267787944,0.7269358381960127
-2.4546437,144.07811,59,3018.3748855551084,197.91063231666848,3040.260720847415,2538.122241071338,0.6571470451296302,0.7371222516563204
-2.4517508,157.96155,60,2671.6233875247494,990.443867684895,3149.01665144297,405.33429967530645,0.5816130984288908,0.7449040132098728
-2.4546452,156.206,61,3017.422426400269,75.65798645436684,2995.3027646061946,2910.3468198115734,0.656939568018659,0.7545167871316274
-2.4526777,102.436195,62,3013.866125710607,836.4185575971699,3271.4352376269617,521.8192697079216,0.6561648880871502,0.7636021275652779
-2.4615154,84.52943,63,3156.117855737895,156.51034208149244,3226.579465590037,2869.4047908793386,0.687152020529267,0.774257205857171
-2.4599366,74.92007,64,2617.1149033442425,945.3365308155254,3078.593936639164,567.3844529740361,0.5697393474509842,0.7831623984707726
-2.4592247,77.68198,65,1624.7324046509043,1388.3211716985156,979.8862376724755,60.501803398106816,0.3535656115368383,0.7927147214280235
-2.4596293,63.749767,66,965.8405807307767,780.4695579536051,935.6243181702214,25.032101179822877,0.2100371763541918,0.801863996717665
-2.4586906,35.22978,67,1528.6617446829187,1157.8900651170934,927.1623564296406,76.53669551977823,0.33263824380880797,0.8110789510938856
-2.4599056,47.32029,68,742.9717773157957,396.4058340514795,1002.2747663459229,103.03817652145452,0.16148897854098182,0.8209438684251573
-2.4636192,54.863426,69,1373.4082960439725,1095.4891393298528,998.7937624343473,119.88879688645294,0.2988189069603384,0.8296759946478738
-2.466657,28.483685,70,827.6971706350735,798.6494712227981,950.8572593348139,-42.763035695935415,0.1799449718950962,0.8392380068037245
-2.4592838,35.36711,71,3283.4768923952624,825.9743980664108,3545.285701200337,811.7225765274919,0.7148950317098356,0.8483272863096661
-2.4657629,22.367018,72,3465.36316784554,132.8397033481441,3459.83958185779,3159.5302709700977,0.7545158792432886,0.8589705258607865
-2.467765,29.358883,73,3439.128551046279,552.6647837724468,3746.947701457662,2320.4897382924173,0.7488011118715951,0.8668452015188005
-2.4649477,20.882275,74,3644.7253773095435,299.29583098263,3708.9308580247935,2781.5146991756487,0.7935869017096278,0.8768785491916868
-2.461849,19.963623,75,3482.4774501022666,609.7241142620496,3759.6729280468785,2181.085032320261,0.7582439360538401,0.8863257980346679
-2.4662292,151.21233,76,3639.796166484274,350.06138997106973,3784.191042599455,2712.7723159043785,0.7925131565351512,0.8957458149724536
-2.464612,17.44602,77,3648.101572740027,391.83732989344554,3769.1509513363785,2482.886710385418,0.7943223487578626,0.9055274478594462
-2.4684186,16.361973,78,3415.5551711038024,537.7339393852546,3627.7363246532577,2274.2589453253076,0.7436660499201817,0.9145800161361695
-2.4665205,17.976048,79,3613.3398712492226,525.5926027506601,3792.529553755391,2053.384386006362,0.7867501002670902,0.924959174460835
-2.4580421,22.864859,80,3752.6127435413664,116.34979296526211,3775.6578111620183,3496.351572039445,0.8170883389548222,0.9329941321743859
-2.4658492,20.815943,81,3764.566830310975,271.2602426241005,3832.2848842797302,2964.5272833245294,0.8196923344906472,0.9435297707716624
-2.4613929,28.015774,82,3852.44470488679,62.75683942702413,3826.6067646930774,3769.791570823981,0.8388350425455168,0.9517631371815999
-2.4672704,17.006014,83,3647.6763880200974,422.4846223443923,3795.0071819944505,2442.5444478377435,0.794229729460886,0.9620730249087016
-2.4651043,729.6832,84,3713.3625714572054,647.8025795405748,3898.3061056466704,1785.2541594751353,0.8085383530916312,0.9710877515872319
-2.4682782,23.376604,85,3594.568787765342,648.6471664797448,3791.0206024940385,1656.3775702915455,0.7826611373428048,0.9807848399877548
-2.4668715,15.054761,86,3667.570904537418,315.50565352836804,3797.8647283594973,2944.1199739728177,0.7985634132626636,0.9901911699771881
-2.4640958,16.036148,87,3721.129254253433,215.24677761126694,3813.171287074929,3194.0720560777163,0.8102301935240566,0.9996552271313137
-2.4654508,24.113157,88,3637.547859834331,566.2064674067891,3811.520285647267,1943.8950803729833,0.7920234009735218,1.0098333469364378
-2.467265,20.781015,89,3808.3625011903373,33.863437021251556,3807.7956513696768,3759.8365823164318,0.8292324803550934,1.0189888336261113
-2.4679546,14.765424,90,3472.9762425220497,618.4810060035278,3801.7924420855916,1869.6043790813571,0.7561742587459314,1.0291357582145266
-2.471049,816.2027,91,3259.6524416554203,945.8013335745269,3819.2590295057717,1573.5386464090261,0.7097052782334135,1.0375711008575228
-2.4651527,16.69732,92,3725.125293261923,237.7146145777983,3792.637795395478,3035.4310425887425,0.8111006630078105,1.0480353055397669
-2.468451,12.284397,93,3839.342561917468,97.65064136907384,3850.893022407133,3685.757993074128,0.835980962392059,1.0565982684824202
-2.465459,17.38998,94,3469.2130659322006,941.9329911306038,3864.223531003995,773.8055619701594,0.7553545143999726,1.066277926431762
-2.463559,26.62497,95,3468.8954660532836,456.21254802903627,3778.4008185429116,2783.207163641359,0.7552853306402411,1.075642307665613
-2.4617388,13.034519,96,3477.6591772952575,754.9842886168468,3822.7538324760308,1689.1858122375113,0.7571943568495351,1.0875806513759825
-2.4676027,15.54154,97,3717.0443066863563,61.33680557481991,3722.6845718512877,3606.359889487332,0.8093403568151756,1.1024923578898111
-2.4611182,19.3627,98,3903.0014399876054,77.48862318367077,3881.444995503637,3799.395758248278,0.8498479718512586,1.1151074812809627
-2.4657564,16.59895,99,3393.225208076414,707.5220546187991,3774.672057769256,1734.9342752652358,0.7388018453047123,1.1329672299491034
-2.4683845,17.214893,100,3786.303089750307,53.42857732410728,3768.5387736494094,3719.134276313631,0.8244272108251114,1.1448865106370714
-2.4653971,25.008402,101,3506.2717172008656,731.5806834482539,3827.119614806339,1612.0460138286512,0.7634271145347341,1.1605762549241383
-2.467037,17.01484,102,3537.8548596622177,729.6183803193542,3871.0239631649156,1888.0846593882106,0.7703069677231658,1.1732371320989397
-2.4691799,20.89746,103,3785.16489129051,247.24948115460654,3880.33667743833,3057.558467557895,0.824179273549323,1.1884815086921057
-2.4622364,16.88678,104,3838.4336941827773,51.32440654039017,3831.807582519239,3758.049955208755,0.8357829809343865,1.2023503967788485
-2.4658265,12.751514,105,3863.7016894289663,54.28925859231302,3859.0354029756436,3781.8512658855243,0.8412871861562861,1.216073723302947
-2.4632258,26.929924,106,3679.0899844587557,354.711304032697,3812.9609413824455,2792.31304205193,0.8010726499170463,1.2306265448861653
-2.4566636,11.899005,107,3900.4582930582155,54.94336049733002,3888.046070745898,3826.71657266109,0.8492939903235426,1.242389873597357
-2.4657075,20.903122,108,3608.0987995574287,663.5933536742236,3812.4293495758466,1622.176376838547,0.785608421479626,1.257707174619039
-2.4683402,13.822147,109,3844.1062952892557,74.71542890346694,3854.379051742024,3679.7582510522184,0.8370186611032254,1.2689473057455487
-2.4670115,15.8444805,110,3786.9693930449075,64.99531195021454,3774.2214833547887,3700.63457491031,0.8245723537237772,1.285508525437779
-2.463046,37.351505,111,3863.318213815659,90.06625573731607,3860.662847671304,3734.2741426052985,0.8412036524824559,1.297886718445354
-2.4658613,15.838843,112,3895.553534184618,67.11439949248758,3898.0817748464897,3804.5461308903086,0.8482255715930029,1.314987883369128
-2.4645221,20.335436,113,3446.3572295151835,682.0788009301033,3767.3340001373876,1870.224347966585,0.7503757571645168,1.3280918887588713
-2.4646626,12.470946,114,3817.4421084752803,161.84467600782546,3867.999684254485,3338.939098376169,0.8312103191722872,1.342244689464569
-2.4571214,13.76748,115,3807.363533471397,236.01735189115257,3862.6900965863406,3123.308036521642,0.8290148721403725,1.3548327610227797
-2.4685686,160.20374,116,3787.319135745404,38.88433302366284,3776.294475495539,3732.4185876868296,0.8246485392533232,1.3692666231923634
-2.459414,791.2529,117,3796.5754453880827,58.63098275206039,3786.2089001968097,3719.4871666291438,0.8266648696892898,1.3848404089609783
-2.463292,74.281265,118,3809.57576843664,60.101847294361086,3824.585403032735,3705.630021373922,0.8294967700958343,1.4011934376425212
-2.461917,17.862604,119,3894.3706891285374,73.3550633235402,3908.9923257113915,3789.6536417660545,0.8479679088116487,1.4129599652025435
-2.463596,15.522263,120,3356.124856681107,756.129540432335,3827.92832350094,1999.1631123358575,0.7307201615029411,1.4292510548565123
-2.4662266,18.156,121,3743.5560691043875,270.98751528732134,3817.400173514917,2964.5288049475344,0.8151154956705264,1.4401867757240931
-2.4674597,809.1018,122,3834.520482553976,68.95350637106378,3807.846247633302,3768.2115067866134,0.8349305539938323,1.457970108853446
-2.455558,807.552,123,3825.6281575174644,107.95907068758999,3858.3756506608556,3530.9430683739483,0.8329935114455844,1.4698563112815222
-2.4652007,817.4533,124,3841.0849203995176,55.13660082853623,3844.692495889083,3755.040372394598,0.8363605057061161,1.486605921122763
-2.4655614,21.402378,125,3596.008618049441,647.9310063303402,3884.661715317653,2112.2753085879704,0.7829747800078113,1.5005824610922072
-2.4674718,13.9995165,126,3673.4084733854165,468.6273699974664,3810.478994211132,2282.3946307144374,0.7998350288626862,1.515899232029915
-2.4604886,14.269539,127,3812.836309843541,45.022879363805835,3823.2320916215695,3750.43536537732,0.8302070238719345,1.5279701385233138
-2.468568,17.83235,128,3747.4635979494756,185.90388223503086,3803.578483412085,3334.869353201615,0.8159666847128032,1.544959525929557
-2.465366,37.846325,129,3792.1860843806085,156.214733930052,3821.936488994581,3418.6061204648263,0.82570872166319,1.5576299402448865
-2.4664757,14.069494,130,3080.2827704126566,1357.2816799409854,3858.5940109628327,420.6668371128082,0.6706326303448271,1.574039155575964
-2.4640217,15.5646,131,3673.053686026536,333.11731712802134,3849.951491141611,2928.0289255230223,0.7997577444396686,1.5855246065722572
-2.465316,38.078316,132,3611.625692284787,980.81156651696,3929.6046755948987,676.5788686984453,0.7863766953841389,1.6003205712636313
-2.4611268,17.42949,133,3753.8695678038116,336.1927225169227,3848.067795749882,2761.6755800779756,0.8173621168545314,1.613854952454567
-2.4629421,21.367052,134,3867.564361709413,49.22294806763733,3855.292391015364,3783.6161174350186,0.8421286039549428,1.6268614573611153
-2.4693053,14.092917,135,3655.2083517180276,414.2606604914159,3780.6117360137987,2429.9638334241554,0.7958704403092688,1.6422611861096488
-2.4670672,14.916626,136,3749.4340571929956,334.57939050830925,3842.881428157614,2757.4687203210538,0.8163959159182095,1.6537734648916456
-2.4662316,14.026016,137,3841.3872424016818,51.203671010968854,3836.692998153387,3741.904203426162,0.8364263614389035,1.670688381327523
